team_naam,team_afkorting,team_landcode,team_status,renner_naam,renner_landcode,geboortedatum,geboorteplaats,gewicht,lengte
"Movistar Team","MOV","ES","World Tour","Sergio  Samitier","ES","1995-08-31","Barbastro","63","1.81"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Simone  Ravanelli","IT","1995-07-04","Bergamo","66","1.78"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Stefano  Oldani","IT","1998-01-10","Milan","65","1.78"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Niklas  Eg","DK","1995-01-06","Kibæk","60","1.84"
"Burgos-BH","BBH","ES","Pro Tour","Miguel Ángel  Fernández","ES","1997-03-21","Santander","79","1.85"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Joan  Bou","ES","1997-01-16",,,
"Burgos-BH","BBH","ES","Pro Tour","Alex  Molenaar","NL","1999-07-13","Rotterdam","63","1.84"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Sander De Pestel","BE","1998-10-11","Sint-Niklaas","74","1.84"
"EF Education-EasyPost","EFE","US","World Tour","Tom  Scully","NZ","1990-01-14","Invercargill","85","1.88"
"Trek - Segafredo","TFS","US","World Tour","Mattias  Skjelmose ","DK","2000-09-26","Copenhagen","65","1.8"
"Movistar Team","MOV","ES","World Tour","Antonio  Pedrero","ES","1991-10-23","Terrassa","60","1.77"
"Astana Qazaqstan Team","AST","KZ","World Tour","Andrey  Zeits","KZ","1986-12-14","Oblast Pavlodar","73","1.89"
"UAE Team Emirates","UAD","AE","World Tour","Vegard Stake  Laengen","NO","1989-02-07","Fredrikstad","79","1.95"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Antonio  Angulo","ES","1992-02-18","El Llano Udías","67","1.75"
"Lotto Soudal","LTS","BE","World Tour","Sylvain  Moniquet","BE","1998-01-14","Namur","61","1.75"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Jordi  Warlop","BE","1996-06-04","Veurne","72","1.81"
"AG2R Citroën Team","ACT","FR","World Tour","Andrea  Vendrame","IT","1994-07-20","Conegliano","60","1.68"
"Movistar Team","MOV","ES","World Tour","Gonzalo  Serrano","ES","1994-08-17","Madrid","65","1.77"
"INEOS Grenadiers","IGD","GB","World Tour","Luke  Plapp","AU","2000-12-25","Melbourne","72","1.81"
"BORA - hansgrohe","BOH","DE","World Tour","Aleksandr  Vlasov","RU","1996-04-23","Vyborg","68","1.86"
"TotalEnergies","TEN","FR","Pro Tour","Anthony  Turgis","FR","1994-05-16","Bourg-la-Reine","70","1.78"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Michael  Matthews","AU","1990-09-26"," Canberra","72","1.78"
"BORA - hansgrohe","BOH","DE","World Tour","Matthew  Walls","GB","1998-04-20","Manchester","72","1.77"
"UAE Team Emirates","UAD","AE","World Tour","Álvaro José  Hodeg","CO","1996-09-16","Montería","76","1.83"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Michael  Gogl","AT","1993-11-04","Gmunden","71","1.86"
"BORA - hansgrohe","BOH","DE","World Tour","Lennard  Kämna","DE","1996-09-09","Wedel","65","1.81"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Tom  Devriendt","BE","1991-10-29","Veurne","70","1.76"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Lionel  Taminiaux","BE","1996-05-21","Ottignies-Louvain-la-Neuve","74","1.73"
"AG2R Citroën Team","ACT","FR","World Tour","Valentin  Paret-Peintre","FR","2001-01-14","Annemasse","52","1.76"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Luca  Chirico","IT","1992-07-16","Varese","58","1.67"
"EOLO-Kometa","EOK","IT","Pro Tour","Francesco  Gavazzi","IT","1984-08-01","Morbegno","65","1.71"
"INEOS Grenadiers","IGD","GB","World Tour","Filippo  Ganna","IT","1996-07-25","Verbania","83","1.93"
"Cofidis","COF","FR","World Tour","Alexis  Renard","FR","1999-06-01","Saint-Brieuc","75","1.84"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Ethan  Vernon","GB","2000-08-26","Bedford","74","1.88"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Louis  Rouland","FR","2002-10-21",,"55","1.84"
"Jumbo-Visma","TJV","NL","World Tour","Sam  Oomen","NL","1995-08-15","Tilburg","65","1.77"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Luca  Mozzato","IT","1998-02-15","Arzignano","67","1.78"
"Groupama - FDJ","GFC","FR","World Tour","Anthony  Roux","FR","1987-04-18","Verdun","73","1.88"
"Jumbo-Visma","TJV","NL","World Tour","Christophe  Laporte","FR","1992-12-11","La Seyne-sur-Mer","76","1.91"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Benjamin  Declercq","BE","1994-02-04","Kortrijk","67","1.82"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Łukasz  Owsian","PL","1990-02-24","Toruń","66","1.8"
"Movistar Team","MOV","ES","World Tour","Vinicius  Rangel","BR","2001-05-26","Cabo Frio","64","1.78"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Silvan  Dillier","CH","1990-08-03","Aarau","75","1.83"
"Bingoal Pauwels Sauces WB","BWB","BE","Pro Tour","Rémy  Mertz","BE","1995-07-17","Luxembourg","70","1.75"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Filippo  Magli","IT","1999-04-29",,,
"Team BikeExchange - Jayco","BEX","AU","World Tour","Kevin  Colleoni","IT","1999-11-11","Ponte San Pietro","66","1.8"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Taco van der Hoorn","NL","1993-12-04","Rotterdam","73","1.87"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Martí  Vigo","ES","1997-12-22","Sesué","66","1.75"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Ward  Vanhoof","BE","1999-04-18","Mol","75","1.86"
"Lotto Soudal","LTS","BE","World Tour","Brent Van Moer","BE","1998-01-12","Beveren","79","1.9"
"Bingoal Pauwels Sauces WB","BWB","BE","Pro Tour","Dorian De Maeght","BE","1997-08-13","Elsene","79","1.81"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Ibai  Azurmendi","ES","1996-06-11",,,
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Fabio  Jakobsen","NL","1996-08-31","Gorinchem","78","1.81"
"Jumbo-Visma","TJV","NL","World Tour","Tosh Van der Sande","BE","1990-11-28"," Wijnegem","67","1.78"
"Bingoal Pauwels Sauces WB","BWB","BE","Pro Tour","Timothy  Dupont","BE","1987-11-01","Ghent","72","1.79"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Dries  Devenyns","BE","1983-07-22","Leuven","65","1.77"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Donavan  Grondin","FR","2000-09-26","Saint-Pierre","77","1.84"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Santiago  Umba","CO","2002-11-20","Arcabuco","58","1.7"
"AG2R Citroën Team","ACT","FR","World Tour","Clément  Venturini","FR","1993-10-16","Villeurbanne","60","1.65"
"UAE Team Emirates","UAD","AE","World Tour","Fernando  Gaviria","CO","1994-08-19","La Ceja","71","1.81"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Senne  Leysen","BE","1996-03-18","Tielen","78","1.9"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Aaron  Verwilst","BE","1997-05-02","Ruiselede","68","1.81"
"UAE Team Emirates","UAD","AE","World Tour","Finn  Fisher-Black","NZ","2001-12-21","Benenden","73","1.87"
"Cofidis","COF","FR","World Tour","Jelle  Wallays","BE","1989-05-11","Roeselare","77","1.86"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Giulio  Pellizzari","IT","2003-11-21",,,
"INEOS Grenadiers","IGD","GB","World Tour","Adam  Yates","GB","1992-08-07","Bury","58","1.73"
"Israel - Premier Tech","IPT","IL","World Tour","Taj  Jones","AU","2000-07-26","Nambour","82","1.91"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Remco  Evenepoel","BE","2000-01-25","Aalst","61","1.71"
